x,y,z,estimate,variance
110.00,200.00,1860.00,1.08017,1.81235
130.00,200.00,1860.00,1.35004,1.87003
70.00,-420.00,1880.00,0.15379,1.87002
90.00,-420.00,1880.00,0.15379,1.87002
110.00,-420.00,1880.00,0.11223,1.81235
130.00,-420.00,1880.00,0.11223,1.81235
150.00,-420.00,1880.00,0.15379,1.87002
50.00,-400.00,1880.00,0.11223,1.81235
70.00,-400.00,1880.00,0.09633,1.77190
90.00,-400.00,1880.00,0.20224,1.73778
110.00,-400.00,1880.00,0.20224,1.73778
130.00,-400.00,1880.00,0.20224,1.73778
150.00,-400.00,1880.00,0.09633,1.77190
170.00,-400.00,1880.00,0.11223,1.81235
190.00,-400.00,1880.00,0.15379,1.87002
30.00,-380.00,1880.00,0.11223,1.81235
50.00,-380.00,1880.00,0.20224,1.73778
70.00,-380.00,1880.00,0.20817,1.70653
90.00,-380.00,1880.00,0.20817,1.70653
110.00,-380.00,1880.00,0.20817,1.70653
130.00,-380.00,1880.00,0.20817,1.70653
150.00,-380.00,1880.00,0.20817,1.70653
170.00,-380.00,1880.00,0.20224,1.73778
190.00,-380.00,1880.00,0.09633,1.77190
210.00,-380.00,1880.00,0.15379,1.87002
10.00,-360.00,1880.00,0.11223,1.81235
30.00,-360.00,1880.00,0.20224,1.73778
50.00,-360.00,1880.00,0.20817,1.70653
70.00,-360.00,1880.00,0.30069,1.67687
90.00,-360.00,1880.00,0.69570,1.64833
110.00,-360.00,1880.00,0.69570,1.64833
130.00,-360.00,1880.00,0.30069,1.67687
150.00,-360.00,1880.00,0.30069,1.67687
170.00,-360.00,1880.00,0.20817,1.70653
190.00,-360.00,1880.00,0.20224,1.73778
210.00,-360.00,1880.00,0.11223,1.81235
10.00,-340.00,1880.00,0.09633,1.77190
30.00,-340.00,1880.00,0.20817,1.70653
50.00,-340.00,1880.00,0.30069,1.67687
70.00,-340.00,1880.00,0.69570,1.64833
90.00,-340.00,1880.00,0.69570,1.64833
110.00,-340.00,1880.00,0.69570,1.64833
130.00,-340.00,1880.00,0.69570,1.64833
150.00,-340.00,1880.00,1.16003,1.39333
170.00,-340.00,1880.00,1.04416,1.38069
190.00,-340.00,1880.00,1.02709,1.39923
210.00,-340.00,1880.00,0.87172,1.43564
230.00,-340.00,1880.00,0.95515,1.46525
-10.00,-320.00,1880.00,0.15379,1.87002
10.00,-320.00,1880.00,0.20224,1.73778
30.00,-320.00,1880.00,0.20817,1.70653
50.00,-320.00,1880.00,0.69570,1.64833
70.00,-320.00,1880.00,0.69570,1.64833
90.00,-320.00,1880.00,0.87993,1.62076
110.00,-320.00,1880.00,1.34624,1.36228
130.00,-320.00,1880.00,1.37989,1.35187
150.00,-320.00,1880.00,1.38629,1.35237
170.00,-320.00,1880.00,1.19202,1.36064
190.00,-320.00,1880.00,1.16411,1.36889
210.00,-320.00,1880.00,1.15242,1.38595
230.00,-320.00,1880.00,1.07320,1.40617
250.00,-320.00,1880.00,1.21020,1.46525
-10.00,-300.00,1880.00,0.15379,1.87002
10.00,-300.00,1880.00,0.20224,1.73778
30.00,-300.00,1880.00,0.30069,1.67687
50.00,-300.00,1880.00,0.69570,1.64833
70.00,-300.00,1880.00,0.87993,1.62076
90.00,-300.00,1880.00,1.34624,1.36228
110.00,-300.00,1880.00,1.47212,1.34407
130.00,-300.00,1880.00,1.40384,1.33712
150.00,-300.00,1880.00,1.46115,1.33809
170.00,-300.00,1880.00,1.69394,1.33844
190.00,-300.00,1880.00,1.25174,1.35326
210.00,-300.00,1880.00,1.27141,1.36091
230.00,-300.00,1880.00,1.11541,1.38663
250.00,-300.00,1880.00,1.37824,1.43564
